Feature,Importance
SUBDIVISION_COASTAL KARNATAKA,0.25797808
SUBDIVISION_KONKAN & GOA,0.24087137
SUBDIVISION_KERALA,0.04750446
SUBDIVISION_JAMMU & KASHMIR,0.036084816
SUBDIVISION_WEST RAJASTHAN,0.036017362
SUBDIVISION_LAKSHADWEEP,0.030057944
SUBDIVISION_TAMIL NADU,0.02875852
SUBDIVISION_CHHATTISGARH,0.02269143
SUBDIVISION_RAYALSEEMA,0.021742873
SUBDIVISION_ARUNACHAL PRADESH,0.020663988
SUBDIVISION_SUB HIMALAYAN WEST BENGAL & SIKKIM,0.019637607
SUBDIVISION_HARYANA DELHI & CHANDIGARH,0.01963063
MAY,0.018072743
SUBDIVISION_PUNJAB,0.017327951
SUBDIVISION_SAURASHTRA & KUTCH,0.016744865
SUBDIVISION_SOUTH INTERIOR KARNATAKA,0.01616272
SUBDIVISION_NORTH INTERIOR KARNATAKA,0.0148613285
SUBDIVISION_ORISSA,0.014413205
SUBDIVISION_EAST MADHYA PRADESH,0.0135788135
SUBDIVISION_UTTARAKHAND,0.0130686015
SUBDIVISION_JHARKHAND,0.012906684
SUBDIVISION_COASTAL ANDHRA PRADESH,0.0122275315
SUBDIVISION_HIMACHAL PRADESH,0.009032867
SUBDIVISION_EAST RAJASTHAN,0.008289632
SUBDIVISION_BIHAR,0.0072228005
Mar-May,0.0065693455
SUBDIVISION_GANGETIC WEST BENGAL,0.0054302937
SUBDIVISION_VIDARBHA,0.005021785
SUBDIVISION_MATATHWADA,0.004482038
SUBDIVISION_GUJARAT REGION,0.003167677
APR,0.0026555483
SUBDIVISION_NAGA MANI MIZO TRIPURA,0.001982137
SUBDIVISION_ASSAM & MEGHALAYA,0.0019244628
SUBDIVISION_MADHYA MAHARASHTRA,0.0017553897
SUBDIVISION_WEST UTTAR PRADESH,0.0017433144
SUBDIVISION_WEST MADHYA PRADESH,0.0017356459
YEAR,0.0016695696
SUBDIVISION_EAST UTTAR PRADESH,0.0015473042
FEB,0.0015064564
MAR,0.0012876538
SUBDIVISION_TELANGANA,0.0010545494
JAN,0.00091804785
