Feature,Mean_Absolute_SHAP
MAY,176.43236
SUBDIVISION_KONKAN & GOA,101.57991
SUBDIVISION_COASTAL KARNATAKA,65.52729
YEAR,47.792667
APR,30.771841
SUBDIVISION_TAMIL NADU,29.080355
SUBDIVISION_SUB HIMALAYAN WEST BENGAL & SIKKIM,28.07416
SUBDIVISION_WEST RAJASTHAN,26.442406
Mar-May,26.009138
SUBDIVISION_RAYALSEEMA,23.980324
SUBDIVISION_JAMMU & KASHMIR,19.827332
SUBDIVISION_CHHATTISGARH,19.003208
SUBDIVISION_PUNJAB,17.294119
SUBDIVISION_SAURASHTRA & KUTCH,17.285439
SUBDIVISION_HARYANA DELHI & CHANDIGARH,17.005062
SUBDIVISION_KERALA,16.24447
FEB,13.910673
SUBDIVISION_EAST MADHYA PRADESH,13.685095
SUBDIVISION_ARUNACHAL PRADESH,13.519639
MAR,13.109496
SUBDIVISION_ORISSA,12.415558
SUBDIVISION_JHARKHAND,12.124641
SUBDIVISION_UTTARAKHAND,12.018448
SUBDIVISION_COASTAL ANDHRA PRADESH,11.953632
JAN,11.208385
SUBDIVISION_BIHAR,9.015499
SUBDIVISION_EAST RAJASTHAN,8.643218
SUBDIVISION_GANGETIC WEST BENGAL,7.9021344
SUBDIVISION_NORTH INTERIOR KARNATAKA,7.2263436
SUBDIVISION_VIDARBHA,6.8836966
SUBDIVISION_MATATHWADA,6.1482773
SUBDIVISION_LAKSHADWEEP,5.7894173
SUBDIVISION_SOUTH INTERIOR KARNATAKA,5.325994
SUBDIVISION_HIMACHAL PRADESH,4.6464257
SUBDIVISION_GUJARAT REGION,3.0126667
SUBDIVISION_WEST MADHYA PRADESH,2.9365525
SUBDIVISION_MADHYA MAHARASHTRA,2.8861334
SUBDIVISION_WEST UTTAR PRADESH,2.574618
SUBDIVISION_TELANGANA,1.5215456
SUBDIVISION_EAST UTTAR PRADESH,1.0340635
SUBDIVISION_NAGA MANI MIZO TRIPURA,0.65679497
SUBDIVISION_ASSAM & MEGHALAYA,0.50880337
